NaN,-0.30538,0.78489,NaN,NaN,-0.12779,-1.5835,NaN,-2.5833,-3.5177
-0.52966,NaN,-0.44218,NaN,-1.7123,-2.9375,-1.3155,-2.6514,-1.88,-1.3573
-0.20947,-1.1061,0.87009,-0.81899,-0.061431,NaN,NaN,NaN,0.13276,-1.2904
1.3687,2.0345,2.5367,NaN,NaN,0.094277,0.45469,0.34539,0.8296,0.021816
0.25267,-0.12884,-0.617,-1.3713,-0.90486,-0.48465,-1.5533,-1.6935,-2.5558,NaN
0.22679,-0.68535,NaN,1.9132,0.86621,0.77307,1.0619,-0.59324,-2.0753,-1.5295
-1.4474,NaN,NaN,-0.57388,0.19265,-0.78891,-0.46002,-0.84018,-1.3898,-2.5989
-1.9922,1.071,0.43105,NaN,NaN,NaN,1.9371,-0.55127,1.4554,NaN
NaN,0.98336,-0.17597,1.1887,-2.0141,-0.80018,-0.94368,0.87746,NaN,1.3042
-0.14095,0.98531,-1.0672,NaN,0.41253,NaN,NaN,0.89676,NaN,0.94955
NaN,NaN,1.3029,-1.339,0.13508,2.7761,-0.43552,0.19595,-0.26381,0.86763
-0.2146,1.039,3.5424,-0.84106,0.95208,NaN,NaN,-1.2026,NaN,NaN
NaN,1.8917,NaN,-2.0502,NaN,1.3471,1.9628,-0.96657,-1.6437,0.14591
1.2321,2.5199,3.7623,0.50559,1.702,-0.5796,NaN,NaN,-0.90528,NaN
0.29287,0.53628,NaN,-0.1253,0.55188,0.57046,-0.10931,-1.3075,-0.43489,1.345
NaN,0.085442,1.2715,-0.32927,0.22472,1.5466,0.037054,-0.77328,-0.77492,0.97924
0.13665,NaN,NaN,NaN,1.2423,-0.24464,1.9589,NaN,1.5222,0.17517
0.49321,-0.15695,-2.0973,1.5615,-1.0578,-0.22674,1.417,1.3746,1.3077,-0.81691
-0.00073986,-0.15796,NaN,1.1826,-0.022096,-0.1639,0.85881,NaN,1.0928,-1.0886
NaN,-1.4298,NaN,NaN,1.2083,0.56459,NaN,NaN,NaN,-0.68429
-1.14,-1.253,0.95136,-1.0292,2.9183,1.0839,-1.1772,-0.51689,0.92336,0.92809
-0.14368,2.1214,NaN,2.1028,1.3584,-0.062386,NaN,NaN,NaN,1.4768
-0.62556,2.5256,NaN,NaN,1.8502,3.14,2.6672,0.36943,NaN,-2.0938
1.5931,2.1278,0.63247,3.2169,1.3355,1.7376,0.28846,-0.92589,-0.36784,2.8787
2.661,-0.16126,-0.43568,-1.8491,NaN,-0.076114,-0.38602,-1.3454,-0.65298,-1.9486
4.1862,-0.99152,NaN,0.21546,NaN,-0.026593,0.16998,0.41686,0.5101,0.85804
NaN,1.644,NaN,0.65348,0.9909,NaN,NaN,0.61247,0.24006,NaN
1.6202,1.2573,-0.46697,1.74,NaN,0.10511,2.2339,NaN,0.096296,2.1063
1.7893,2.8275,-0.044337,NaN,-0.23608,2.6403,NaN,1.633,1.39,NaN
0.84928,1.5371,1.1599,NaN,1.2205,0.01118,NaN,1.8921,NaN,2.1072
NaN,3.2715,1.0768,0.14076,2.4103,0.90874,3.0206,1.0416,1.7247,2.3731
0.34085,NaN,NaN,0.026959,1.3558,1.0623,1.2225,2.0941,NaN,-1.878
NaN,1.0709,3.5904,1.6059,1.0467,0.5176,NaN,0.17049,0.94818,NaN
2.2707,2.5243,3.597,-0.19784,0.48907,0.83806,2.5898,0.54481,0.37032,1.7439
3.3246,0.91806,-0.98585,0.092675,0.14891,1.6198,NaN,0.17262,1.4145,0.95254
1.2618,0.55742,2.0808,0.15946,0.94247,0.23443,0.79351,1.243,0.047343,-1.4132
0.27175,NaN,0.27173,1.0186,-0.48114,1.7888,1.0477,NaN,3.5345,0.5522
-1.5574,NaN,-1.4777,2.897,-1.4972,NaN,-0.76372,-0.34745,1.6794,NaN
NaN,0.18234,-0.24457,0.20204,0.75998,-0.25333,NaN,NaN,-0.31786,0.76877
-0.79719,1.5672,0.86125,0.86075,NaN,-0.59891,-1.5625,-0.18468,-0.71784,0.36331
-1.2226,0.36501,-0.044556,1.0166,NaN,1.1024,0.096955,-0.54916,0.41147,1.2139
NaN,-0.0034116,NaN,0.072102,-0.13958,0.65419,NaN,NaN,-1.0057,0.54944
NaN,NaN,-0.57433,1.4845,1.6014,1.2742,1.4205,NaN,-1.1007,-0.75362
NaN,-0.10613,-2.8871,-1.1665,NaN,NaN,0.59845,2.0927,2.3431,0.16612
0.21946,0.59029,0.68013,-0.31149,0.096806,-0.10207,-0.1543,NaN,2.1829,NaN
0.15692,1.1289,0.51727,-2.2025,0.509,NaN,0.88307,NaN,1.0855,-1.2357
-3.2191,0.096763,-1.6344,-1.3353,NaN,-1.9123,-0.98536,2.0525,-0.5687,NaN
0.034108,0.22231,-1.5519,-0.54967,-0.58098,-2.7428,-1.2515,-0.86205,-0.66638,1.2484
NaN,1.1441,-2.3115,NaN,NaN,NaN,-0.83612,1.7274,-0.41698,-0.79452
0.035837,-0.38715,-1.4138,0.65498,-0.052981,NaN,-2.5076,-1.3748,NaN,NaN
1.3864,0.084077,-1.1815,-1.7927,NaN,-0.71855,-0.49202,0.99387,NaN,-0.21424
-1.4117,-0.4768,2.6058,-1.1506,NaN,-0.99763,0.44822,NaN,-1.501,-2.536
0.7786,-0.63546,-0.14381,NaN,0.021321,-0.48428,-0.12893,-2.4094,0.022604,0.56957
-0.22302,-2.1699,NaN,0.19695,1.2979,2.9551,-2.4111,-0.85583,1.1115,-0.65293
2.2748,0.80435,NaN,0.87244,1.1378,-1.2489,0.6409,2.1758,1.1196,-1.4469
2.1886,-0.63974,1.4199,-0.41353,1.4902,3.0793,0.47021,-1.1752,-1.769,2.2169
-0.96992,-0.70721,0.6801,0.63579,1.3203,0.93604,1.2794,0.40953,NaN,2.3774
NaN,NaN,0.99708,1.0964,2.2511,1.2719,0.92221,-0.11932,1.4154,0.30809
-1.2982,0.32721,0.45214,2.1555,1.4803,2.4709,0.19313,-1.309,-2.2082,0.92035
-0.097137,NaN,NaN,-0.37909,-0.37408,NaN,NaN,0.94337,0.34301,-0.28284
-1.9934,NaN,2.2004,NaN,NaN,NaN,-0.8451,1.1209,-0.74998,-0.16823
-0.96909,1.1573,0.84086,1.4692,NaN,NaN,-1.6955,-0.14263,-1.2938,0.053211
0.36133,1.4058,-0.11335,1.7903,NaN,-1.7487,-0.18648,1.0429,-0.59727,0.51939
0.70224,NaN,-1.0421,0.60438,-0.46607,NaN,-1.7282,0.41851,0.40246,1.9472
1.5139,1.3888,NaN,0.61235,1.1863,1.3512,NaN,NaN,1.5383,0.39651
0.025713,NaN,NaN,-1.4662,0.33449,0.66285,NaN,NaN,0.35014,0.66121
-0.37709,0.6764,-0.67217,-1.2725,1.9784,0.88716,-0.88758,-0.52382,0.54967,0.90992
NaN,2.7765,1.2198,-0.24955,NaN,0.87399,1.5199,-1.6937,0.011068,NaN
NaN,-2.4303,-0.99519,-1.0033,1.218,NaN,-0.11834,NaN,-0.081537,0.94789
0.92161,0.15042,-0.14315,-0.81157,1.5796,-1.6571,NaN,NaN,0.22373,NaN
-0.94021,NaN,2.6036,0.076144,-0.89573,-0.14441,1.5677,-1.1744,-1.5417,1.179
0.0045726,0.5945,NaN,-0.13196,-0.41735,-0.39721,-1.8361,0.7716,1.5222,0.37174
NaN,0.15809,-0.14449,-0.56156,1.5558,-0.046828,-1.0149,-0.021185,-0.76195,-1.7984
